TrackId,ArtistId
5SuOikwiRyPMVoIQDJUgSV,1
4qPNDBW1i3p13qLCt0Ki3A,2
1iJBSr7s7jYXzM8EGcbK5b,3
1iJBSr7s7jYXzM8EGcbK5b,4
6lfxq3CG4xtTiEg7opyCyx,5
5vjLSffimiIP26QG5WcN2K,6
01MVOl9KtVTNfFiBU9I7dc,7
6Vc5wAMmXdKIAM7WUoEb7N,8
6Vc5wAMmXdKIAM7WUoEb7N,9
1EzrEOXmMH3G43AXT1y7pA,10
0IktbUcnAGrvD03AWnz3Q8,10
0IktbUcnAGrvD03AWnz3Q8,11
7k9GuJYLp2AzqokyEdwEw2,12
4mzP5mHkRvGxdhdGdAH7EJ,13
5ivF4eQBqJiVL5IAE9jRyl,10
4ptDJbJl35d7gQfeNteBwp,14
0X9MxHR1rTkEHDjp95F2OO,15
4LbWtBkN82ZRhz9jqzgrb3,6
4LbWtBkN82ZRhz9jqzgrb3,16
1KHdq8NK9QxnGjdXb55NiG,17
6xKeQgzfjixSUld14qUezm,18
6xKeQgzfjixSUld14qUezm,19
4Yo0igmcoNyat1secaH0OD,18
4Yo0igmcoNyat1secaH0OD,19
2qLMf6TuEC3ruGJg4SMMN6,10
2qLMf6TuEC3ruGJg4SMMN6,11
6CgNoAbFJ4Q4Id4EjtbXlC,20
6CgNoAbFJ4Q4Id4EjtbXlC,21
3S0OXQeoh0w6AY8WQVckRW,10
210JCw2LbYD4YIs8GiZ9iP,20
210JCw2LbYD4YIs8GiZ9iP,22
5TvE3pk05pyFIGdSY9j4DJ,8
5TvE3pk05pyFIGdSY9j4DJ,9
0BUuuEvNa5T4lMaewyiudB,10
3Hn3LfhrQOaKihdCibJsTs,10
6D33wCKzWtNEgOovgeVJ7r,10
5IfCZDRXZrqZSm8AwE44PG,10
0dzKBptH2P5j5a0MifBMwM,10
5QAMZTM5cmLg3fHX9ZbTZi,10
2qESE1ZeWly7I3YjyTXmXh,10
3EQV1ZHtHvq9OnVRYIdbg3,10
3ax0rfGb7exLtl02LL08U9,10
1m5LC29RE52Bxy7hxvpOlL,6
3H36x7buZdQD4687VmFrwY,23
3H36x7buZdQD4687VmFrwY,24
0xbMRcMFqxJq1Wa7tvWPtn,23
0xbMRcMFqxJq1Wa7tvWPtn,24
6h061f44HZPj1OXO2nA45d,23
6h061f44HZPj1OXO2nA45d,24
62EwQLDw0dprDzuLwQ0sH1,25
3lvo0I8c2qBJDLZWqExDgC,23
1ae8XfBQ3fDEvmBjFaemGV,23
0adVktNVJXPZfhQe6B1NO5,25
6sp6Vx3sv2l5qxPfbQkcyt,26
1WFVfVjCtbmdIv7j3Fa9iy,23
0e5PAxSyZ5DWWVqKANHETz,23
0e5PAxSyZ5DWWVqKANHETz,27
1MLr9b1fOybO3MGiLy47Ys,23
1MLr9b1fOybO3MGiLy47Ys,27
6JGjevTaqr9J1xp7YvYUKF,23
7Af2YlwMZryKOQiRfwMsD2,23
7Af2YlwMZryKOQiRfwMsD2,27
3RE5nHIVkC4KcA7snFaTKd,23
3RE5nHIVkC4KcA7snFaTKd,27
0JvkNRyq8Tmot9khpdtN0I,23
0JvkNRyq8Tmot9khpdtN0I,27
27gHtbsHClwimHFtKgFop4,23
27gHtbsHClwimHFtKgFop4,27
1QBNBGeIRRGBnLhdlHbfI8,23
1QBNBGeIRRGBnLhdlHbfI8,27
72xTsTouZ5nBmASX8k1XCW,28
3ILmwMefYZoQh5Cf5jeuUQ,29
2DHDuADAHoUW6n0z80RLQF,30
5JDcQAztvZTIkrWoZihgvC,31
2sYFi9xVSZ56WHKSY2fN1K,32
6xJOhSm4SvZwzy3uhWz26O,30
7lLKxcNeJtDTWVRKHovLEC,33
25UzeaV47eDT44Fovve6xQ,6
4oa14QBfWRDfJy2agySy0L,34
2gRKq9rIC5i1zuxp06zJWH,6
08MFgEQeVLF37EyZ7jcwLc,13
6nXIYClvJAfi6ujLiKqEq8,30
7x4b0UccXSKBWxWmjcrG2T,35
6owKuyHxUqidcAA6fPKSyy,20
6owKuyHxUqidcAA6fPKSyy,21
0wbmIfvndFV9VDvuUY1pYN,36
3e5yu9MkIvQx17mm7LF6KY,37
6VwAh8Z1d5YKoSWoEaV4db,38
2D4BSm5Z8Hq5zYbSgJwEOh,34
7LwGBxB0h0CVmkOZxYKn0g,30
0ZwdH0m32I8odedwvspYTh,39
16dkWKIlBsfYTISCVuDs0w,31
3TwtrR1yNLY1PMPsrGQpOp,40
3Et4LKZLnXygPYfNdeB3D3,30
2E9viCx0hJKNKNThd2MdGQ,41
0Zf1BPkkFAWGtVHeBwHHz4,3
38jy6kRlPt8z1GUS9WXeNh,10
2SkJKMfjpYsNv0KWOxiegX,8
4qCbMMMuEB56kHd4zPE6GD,26
4qCbMMMuEB56kHd4zPE6GD,42
11TK5KLtLZUdKr1C549bAw,43
7BXW1QCg56yzEBV8pW8pah,10
2kMrCPZ0o5gErBPLCRgoli,44
5IjTZ1g8KrIuV97N3OQZ0V,44
3bHhUEOTIbezeZ856R0BX5,26
0wf17wsLRwnnfh241GkeH5,44
3322ArxAq7wCSZI4fF77Q0,44
4LGF2tDg3878bs0mQPByZ4,26
6Uy6K3KdmUdAfelUp0SeXn,34
2z2JKNU24UEngb4joR9p8f,25
2nef44o0sjJDKB1ta4S0ub,25
0qJGlogD7AyMLAJfQ42aI2,40
04JS6OitE9VGsIS3S94Osg,45
5OGpsZeJRZ3t3MZioawcZW,45
3Vnes7v746dYzBn0FJTZ1W,25
30cYWLpVdBZVLb1cYdmcTT,45
7sUqJ51FGSi3n7x4pYjY3v,45
15BFn2VmEtonsXfNL1lUmy,45
0WOFJR54wyTwLB11jcBDb1,45
1uDCw6LVMOmbZ6zRliNcNX,45
7DYsBLdOqz0z14tYWMt2Tn,25
7cPuE0M35EajWPRO3nRcH8,25
0U32q8CZRRo7xCzyiaZw5f,29
4kQXMVjoZ9yMibLZq5Aqi5,46
3us8sod4dLbM9FiMiPiEY8,30
1PR5pyPiOEEQ02oJYq402x,20
1PR5pyPiOEEQ02oJYq402x,47
068qo0w1Ki0cjnFYOUhAm2,20
2RFt6ZWQbr9mPhsft9u9eX,44
2RFt6ZWQbr9mPhsft9u9eX,48
59pUIlXjQupbiYwt40uUTi,49
0VhZ5JYfqPojSYeGWnk4dL,50
0ltIx8PLjtWoS9zn9PqsZW,51
7ACW42whcdOiUxiNVu7ltx,39
4qTHoIp62ngNDpUJwW3hZ7,20
4VbDTk82rqWqVgoQC93CkC,30
1pG5nd6gmfbMwUfT5shDQe,2
2WZyfujzMweFLnozyUJBkW,52
6gijbGNDNNJgT60Aj7UCyc,53
5pq4v03P5PxMcnCagg4S3Z,20
08OjvLnGR3M0HUhcePeMNO,18
